id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,number_of_reviews_ltm,name_processed,assumed_gender,total_of_host_listings_count
879181,287172,Central Area,Atlantic,47.60096,-122.3019,Private room,53,30,99,0.8,247,4,jimi hendrix neighborhood 3,female,2
6606,14942,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,159,0.95,99,2,fab privat seattl urban cottag,female,3
902609,3264544,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,70,2,238,1.95,206,27,entir guest suit inest seattl,male,5
9419,30559,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,55,2,175,1.14,356,20,gloriou sun room memori foamb,male,9
226536,209571,Magnolia,Lawton Park,47.66133,-122.40088,Private room,61,1,316,2.28,209,53,seren room sunni cottag near discoveri park,female,1
226677,30559,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,55,2,245,1.77,363,51,sunni parisian room best cool memoryfoam bed,male,9
9531,31481,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,175,3,71,0.52,228,11,ador sweet orang craftsman,female,2
904057,4678869,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,109,3,496,4.04,274,40,seattl mini homeith hot tub privat deck,male,1
9534,31481,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,135,2,73,0.54,231,13,coolest tangerin dream mil,female,2
9596,14942,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,0.68,65,0,home spaciou central fab,female,3
9909,33360,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,108,3,82,0.5,136,4,luna lower friendlyest seattl locat,female,10
229990,1201633,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,220,3,12,0.21,277,0,alki beach 12 block beach,male,1
241016,956883,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,175,2,127,1.12,274,16,scandinavian queen ann home,female,2
241032,956883,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,98,3,328,2.36,293,28,stylish queen ann apart,female,2
11012,14942,Other neighborhoods,Wallingford,47.65405,-122.33744,Entire home/apt,310,30,98,0.61,112,0,orang hous quiet n central,female,3
942490,4705328,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,87,2,132,1.08,223,6,charm greenwood neighborhood flat,female,1
25002,102684,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,83,2,972,6.18,106,70,beauti privat spot north ballard,female,1
260613,1387754,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,95,3,109,0.81,329,11,charm hideaway north ballard,female,1
948077,365687,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,152,2,481,3.96,292,67,cottag capitol hill oasi free park,male,1
278830,1452570,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,399,2,88,0.68,86,8,shine starlight hous seattl,female,4
284087,721070,Downtown,First Hill,47.6121,-122.33,Entire home/apt,173,3,299,2.22,246,33,nest heart citi,female,1
